m	M	n	mean	sd	SNPs	unique	FAIL
3	2	1	8.19	1.118	6546	4788	5
6	3	2	16.60	1.878	2914	1812	5
4	1	0	10.92	1.341	3059	2621	0
4	1	1	10.92	1.341	3773	3087	0
5	2	1	13.84	1.577	3487	2447	0
1	1	1	1.60	0.217	59256	59256	5
3	1	2	8.16078	1.12901	6746	4938	5
4	4	3	11.0053	1.29464	6165	3583	0
6	0	4	16.0307	1.87478	2759	1700	5
3	0	1	7.91044	1.10667	4067	3530	5
6	4	1	16.3044	1.63524	3218	1810	5
5	2	4	13.8717	1.59811	4165	2600	0
2	4	1	4.82911	0.811635	10851	6741	5
5	4	0	13.7021	1.48893	3985	2303	5
5	3	2	13.813	1.49522	3954	2491	0
4	3	0	11.0187	1.27908	4824	3136	0
6	1	4	16.3957	1.84438	2953	1881	5
6	1	3	16.3723	1.88648	2662	1833	5
4	3	2	11.0852	1.29035	5484	3489	0
4	0	2	10.7474	1.40198	4035	2977	0
4	0	0	10.3212	1.22242	698	621	5
3	1	1	8.09033	1.10138	5204	4345	5
2	0	4	4.79967	0.831056	11315	6758	5
3	4	2	8.15	1.09412	8516	5094	5
5	0	3	13.3834	1.64246	3348	2265	5
5	4	3	13.7327	1.48058	4451	2534	0
2	2	4	4.89556	0.828867	13104	7910	5
2	0	1	4.69811	0.787941	5462	4761	5
2	2	3	4.87511	0.821246	11725	7546	5
6	2	1	16.3941	1.77415	2584	1779	5
4	3	1	11.0528	1.28439	5298	3418	0
5	3	1	13.7861	1.48723	3845	2450	0
4	4	1	11.0118	1.29139	5809	3449	0
2	0	2	4.75311	0.808976	8077	5903	5
2	0	0	4.54656	0.718189	233	219	5
2	1	3	4.84244	0.828359	11362	7481	5
4	1	3	11.0682	1.40076	5222	3549	0
2	3	0	4.82433	0.801984	8262	5566	5
4	2	0	10.3497	2.45654	5002	3580	0
3	3	4	8.20978	1.11176	8757	5237	5
6	3	0	16.3167	1.65337	2669	1680	5
2	0	3	4.77867	0.821291	9926	6427	5
4	4	4	10.9972	1.30173	6255	3595	0
6	3	4	16.4446	1.65645	3153	1858	5
5	3	4	13.8291	1.50264	4215	2541	0
4	2	4	11.1731	1.35919	5916	3681	0
4	0	4	10.8323	1.42895	5264	3274	0
