Filename	Raw	Demulti_quality_control	Paired_after_demulti	Fastp	Filter	Paired_after_filter	Reads_in_denovo	Coverage				
ALP1				5127486	4587363	4234802	356030	11,14				
ALP2				8720416	7408460	6878162	671983	10,46				
ALP3				9030780	8802340	8597716	1270128	12,55				
ALP5				8212208	7616305	7049984	835775	10,57				
ALP6				6049810	5909261	5783430	462733	8,94			CHIEDERE A CHIARA IL PROCESS RADTAGS DEL MULTIPLEXING DEGLI ALP	
ALP7				7212536	7025410	6857290	960913	12,63				
ALP8				7460864	7261006	7079452	1165821	13,15			2117401	4234802
ALP9				9799858	8998285	8224558	765170	10,7			3439081	6878162
ALP10				4333904	4216301	4110654	415262	10,51			4298858	8597716
ALP11				1984472	1816026	1698240					3524992	7049984
ALP12	7125960	6611204	6096448	5528018	5057453	4696090	477118	10,49			2891715	5783430
ALP14	22186840	21719591	21252342	19054520	18189878	17485294	2450445	14,58			3428645	6857290
ALP15	9859134	9537096	9215058	8358968	6861203	5904342	447798	12,66			3539726	7079452
CTT1	14621528	14105139	13588750	13227734	12198265	11374048	1844030	17,1			4112279	8224558
CTT2	7513334	7183470	6853606	6686512	6292252	5977296	1144368	16,26			2055327	4110654
CTT3	11334024	11085561	10837098	10564754	10277034	10004434	1600653	19,57			849120	1698240
LPASS1	14781586	14243042	13704498	13175944	12546385	12038728	1860550	24,51				
LPASS10	13680124	13600631	13521138	12833514	10586524	9135700	1106468	13,54				
LPASS11	21842478	21725862	21609246	20823464	18864409	17369938	2472106	21,68				
LPASS12	9937342	9924262	9911182	8854760	8375591	7975760	679509	14,3				
LPASS13	5123160	5033070	4942980	4734176	4171317	3805754	476255	13,93				
LPASS14	9559334	9548203	9537072	9200290	8360873	7857262	1344470	15,86				
LPASS15	15952950	15920161	15887372	14875854	13487983	12460070	1135390	14,76				
LPASS2	29618530	29376337	29134144	25520236	22537556	20920644	1633765	17,24				
LPASS4	23491644	23331920	23172196	20982556	19975917	19207024	2103365	15,71				
LPASS5	3236828	3039130	2841432	2714756	2199909	1869882						
LPASS6	1111324	646737	182150	86968	68141	50628						
LPASS7	10268728	10253106	10237484	9522420	7931808	6608906	881521	13,18				
LPASS8	9434728	9353443	9272158	8855434	8626209	8409428	1138233	14,94				
LPASS9	18405862	15490498	12575134	11376376	8864926	7670258	1085702	11,18				
MAU1	10987630	10885979	10784328	9833458	9408407	9042046	1527027	16,47				
MAU10	9110840	9029192	8947544	8636322	8201245	7846612	1542699	23,32				
MAU11	7782830	7686810	7590790	7361486	6977507	6654996	1578497	18				
MAU5	10257862	10225134	10192406	9230544	8474952	7925484	1081982	16,27				
MAU7	16818386	16793503	16768620	15629846	12931123	11077740	1280355	15,2				
MAU8	14475314	14371258	14267202	13304048	12659259	12140806	2026440	21,42				
MAU9	27050850	26970633	26890416	24378880	23336395	22425974	2719167	15,6				
PDR1	21351948	21198623	21045298	19853530	18813284	17986308	3266664	17,16				
PDR10	19113748	19048099	18982450	18339620	16721741	15462152	1863832	17,59				
PDR11	14616108	14611423	14606738	13726862	13030281	12375260	2024468	17,18				
PDR12	15013032	14992901	14972770	14070102	13463041	12974062	1742259	17,4				
PDR13	17495262	17476507	17457752	16087528	15486709	14963374	1764203	15,19				
PDR14	10216998	10186159	10155320	9278752	7071707	5702626	608791	12,04				
PDR15	20346916	20331459	20316002	18986758	18418341	17890608	2366541	14,64				
PDR2	9419922	9298720	9177518	8823796	8250153	7834534	1319906	13,31				
PDR3	35100768	35050307	34999846	31393784	29887144	28628676	4270512	13,56				
PDR4	45440992	45287608	45134224	40242586	37391155	35122010	6242252	12,28				
PDR5	13183400	13108443	13033486	12664928	12302464	11966996	2316222	19,65				
PDR8	16145616	16129038	16112460	15072330	14192553	13570994	1356779	15,03				
PDR9	19728062	19719195	19710328	19266206	17285677	15864110	2710871	20,46				
PPURA1	10086762	10083806	10080850	9706482	8766817	8186832	1147679	16,6				
PPURA10	27522566	27490350	27458134	25943490	23390137	22032440	4024197	23,01				
PPURA11	14181994	14176980	14171966	13227360	11076981	9616584	1425768	15,69				
PPURA13	24027392	24018528	24009664	21802632	21234433	20698490	3207391	12,73				
PPURA15	17827926	17825699	17823472	16422794	15306430	14481540	1698471	15,91				
PPURA2	14368938	14357935	14346932	13241466	12655548	12156812	1526930	16,35				
PPURA3	15680154	15640448	15600742	14941204	14304536	13766580	2052799	17,25				
PPURA4	12936458	12922926	12909394	12369404	11885270	11473542	2054986	20,14				
PPURA5	15812098	15804339	15796580	14390136	14036836	13704112	1709473	15,57				
PPURA7	9050274	9036564	9022854	8631820	7396465	6475534	1019049	16,59				
PPURA8	12478484	12449215	12419946	12091074	11767728	11461826	1231549	20,04				
RT11	10433280	10425462	10417644	9777372	8484287	7606464	1058839	17,88				
RT14	12864820	12858695	12852570	12436912	11324452	10495500	1397078	19,43				
RT15	12577862	12572928	12567994	12257284	9433611	7626786	1558888	15,94				
RT16	10637894	10626609	10615324	10290312	9506063	8884696	1202620	16,12				
RT3	9114404	9110364	9106324	8884810	8091411	7526386	1298912	15,55				
RT6	8250378	8244291	8238204	8038404	6643973	5662296	1337590	18,43				
RT9	10886278	10849980	10813682	10530824	9486236	8694044	1674210	17,69				
SNEV1	20762274	20708869	20655464	19870128	18871091	18116242	3183686	18,82				
SNEV10	92949424	92940704	92931984	78220046	74734485	71899498	13355151	12,37				
SNEV11	12355978	12354816	12353654	11001192	10392842	9912146	778601	13,54				
SNEV13	14186952	14185597	14184242	13154680	12200716	11526858	2422977	17,4				
SNEV14	22610602	22604566	22598530	21119288	20347930	19697512	2373127	18,63				
SNEV2	22672448	22664522	22656596	21294100	20594201	19979086	2570874	19,72				
SNEV3	32220356	32205467	32190578	28759720	27757714	26888852	2428126	12,15				
SNEV5	15861966	15854204	15846442	13746528	13243155	12768958	1125034	10,15				
SNEV6	23843914	23836617	23829320	21875896	18746704	16751158	3139810	13,88				
SNEV7	65369172	65360330	65351488	56594888	46297364	39173218	7160191	11,68				
SNEV8	47362818	47352425	47342032	40675198	37992104	36151580	5132164	10,96				
SNEV9	128551408	128535783	128520158	108729636	103972440	100073446	20119449	15,12				
SP10I12	10028830	10015331	10001832	9728260	9061646	8493568	1728858	15,82				
SP11I13	8864018	8861521	8859024	8581612	8350805	8132650	1812870	20,61				
SP11I14	10468796	10463865	10458934	9986242	9069909	8359670	1331174	14,66				
SP12I15	6708584	6705874	6703164	6468682	5848484	5461176	919984	13,09				
SP13I16	9633758	9628874	9623990	9240968	8623368	8104310	1537279	15,36				
SP14I17	15657182	15652392	15647602	14825396	13926067	13221956	2292859	19,35				
SP17I18	23294298	23282238	23270178	22331790	21183566	20106354	3880838	19,62				
SP17I19	16002862	15991672	15980482	15599056	13389771	11788314	2931695	18,55				
SP5I7	11643820	11640811	11637802	10622324	9090951	8046184	966320	12,86				
SP6I8	9542200	9529526	9516852	9324814	8197276	7418624	1616168	18,83				
SP7I10	21337740	21331291	21324842	19545844	18470406	17570252	2857938	14,74				
SP7I11	9525988	9520668	9515348	9251294	8866036	8545374	1539829	15,17				
SP7I9	10211448	10140297	10069146	9283568	8618195	8115456	975256	12,41				
STE1	13528852	13526305	13523758	12302794	11227709	10741844	2767061	22,29				
STE10	20183206	20173469	20163732	18244168	16051134	14474090	1778813	14,28				
STE11	15740532	15737180	15733828	14770758	13401575	12776020	1945893	19,76				
STE13	18466464	18462119	18457774	17307436	15604315	14441536	1790358	22,02				
STE14	12989482	12985061	12980640	12514424	11965420	11518494	1641915	17,09				
STE15	15454050	15450725	15447400	14402936	14030342	13678460	2382470	15,27				
STE3	8495082	8493314	8491546	8275326	7053095	6201310	1085583	15,87				
STE4	13965690	13962879	13960068	13522896	11634915	10392986	1858564	20,73				
STE5	6361918	6351589	6341260	5981310	5209548	4691794	645489	13,57				
STE6	22203610	22199221	22194832	21623586	18990192	17701588	3045597	26,97				
STE7	7879386	7872968	7866550	7617468	6501762	5797574	846271	14,12				
STE8	25686070	25676400	25666730	25055354	23864460	22873148	4433572	41,09				
STE9	21876692	21872454	21868216	21094862	18377615	16478598	2489737	26,49				
