# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
ALP	135	10.81699	1.18319	0.01743	0.92963	0.01829	0.00217	0.11031	0.04791	0.00351	0.88969	0.04791	0.00351	0.09426	0.02662	0.00261	0.90574	0.02662	0.00261	0.09885	0.02927	0.00274	-0.02154	0.04184	0.01743
CTT	297	2.97259	0.02729	0.00292	0.94568	0.01935	0.00245	0.10262	0.07104	0.00470	0.89738	0.07104	0.00470	0.06405	0.02447	0.00276	0.93595	0.02447	0.00276	0.07695	0.03532	0.00332	-0.04405	0.02762	0.00292
LPASS	183	11.36858	0.64460	0.01286	0.92508	0.01963	0.00224	0.11453	0.04876	0.00354	0.88547	0.04876	0.00354	0.09936	0.02885	0.00272	0.90063	0.02885	0.00272	0.10398	0.03159	0.00285	-0.01904	0.03899	0.01286
MAU	49	6.94130	0.05682	0.00382	0.93816	0.01849	0.00218	0.10102	0.05376	0.00372	0.89898	0.05376	0.00372	0.07906	0.02595	0.00258	0.92094	0.02595	0.00258	0.08522	0.03015	0.00279	-0.02969	0.03943	0.00382
PDR	107	12.81134	0.19315	0.00704	0.94977	0.01557	0.00200	0.07993	0.04301	0.00332	0.92007	0.04301	0.00332	0.06428	0.02181	0.00237	0.93572	0.02181	0.00237	0.06690	0.02362	0.00246	-0.02443	0.03363	0.00704
PPURA	157	10.92787	0.08697	0.00472	0.92136	0.01894	0.00220	0.11551	0.04623	0.00344	0.88449	0.04623	0.00344	0.10705	0.02746	0.00265	0.89295	0.02746	0.00265	0.11220	0.03017	0.00278	0.01058	0.06285	0.00472
RT	287	6.94501	0.05458	0.00376	0.91088	0.02130	0.00235	0.13631	0.05464	0.00376	0.86369	0.05464	0.00376	0.11976	0.03151	0.00286	0.88024	0.03151	0.00286	0.12910	0.03662	0.00308	-0.01129	0.05200	0.00376
SNEV	115	11.84497	0.18546	0.00690	0.93191	0.01860	0.00219	0.10698	0.04860	0.00353	0.89302	0.04860	0.00353	0.08971	0.02707	0.00264	0.91029	0.02707	0.00264	0.09367	0.02951	0.00275	-0.02575	0.03549	0.00690
SP	172	12.78106	0.24396	0.00791	0.92710	0.01853	0.00218	0.11369	0.04733	0.00349	0.88631	0.04733	0.00349	0.09813	0.02664	0.00262	0.90187	0.02664	0.00262	0.10214	0.02887	0.00272	-0.01965	0.04138	0.00791
STE	364	12.74820	0.27933	0.00847	0.91639	0.01924	0.00222	0.12855	0.04760	0.00350	0.87145	0.04760	0.00350	0.11476	0.02876	0.00272	0.88524	0.02876	0.00272	0.11947	0.03117	0.00283	-0.01360	0.04498	0.00847
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
ALP	135	3896	3896	1223	31.39117	10.81699	1.18319	0.01743	0.92963	0.01829	0.00217	0.11031	0.04791	0.00351	0.88969	0.04791	0.00351	0.09426	0.02662	0.00261	0.90574	0.02662	0.00261	0.09885	0.02927	0.00274	-0.02154	0.04184	0.01743
CTT	297	3211	3211	480	14.94861	2.97259	0.02729	0.00292	0.94568	0.01935	0.00245	0.10262	0.07104	0.00470	0.89738	0.07104	0.00470	0.06405	0.02447	0.00276	0.93595	0.02447	0.00276	0.07695	0.03532	0.00332	-0.04405	0.02762	0.00292
LPASS	183	3896	3896	1206	30.95483	11.36858	0.64460	0.01286	0.92508	0.01963	0.00224	0.11453	0.04876	0.00354	0.88547	0.04876	0.00354	0.09936	0.02885	0.00272	0.90063	0.02885	0.00272	0.10398	0.03159	0.00285	-0.01904	0.03899	0.01286
MAU	49	3884	3884	859	22.11637	6.94130	0.05682	0.00382	0.93816	0.01849	0.00218	0.10102	0.05376	0.00372	0.89898	0.05376	0.00372	0.07906	0.02595	0.00258	0.92094	0.02595	0.00258	0.08522	0.03015	0.00279	-0.02969	0.03943	0.00382
PDR	107	3896	3896	750	19.25051	12.81134	0.19315	0.00704	0.94977	0.01557	0.00200	0.07993	0.04301	0.00332	0.92007	0.04301	0.00332	0.06428	0.02181	0.00237	0.93572	0.02181	0.00237	0.06690	0.02362	0.00246	-0.02443	0.03363	0.00704
PPURA	157	3896	3896	1523	39.09138	10.92787	0.08697	0.00472	0.92136	0.01894	0.00220	0.11551	0.04623	0.00344	0.88449	0.04623	0.00344	0.10705	0.02746	0.00265	0.89295	0.02746	0.00265	0.11220	0.03017	0.00278	0.01058	0.06285	0.00472
RT	287	3855	3855	1411	36.60182	6.94501	0.05458	0.00376	0.91088	0.02130	0.00235	0.13631	0.05464	0.00376	0.86369	0.05464	0.00376	0.11976	0.03151	0.00286	0.88024	0.03151	0.00286	0.12910	0.03662	0.00308	-0.01129	0.05200	0.00376
SNEV	115	3896	3896	1098	28.18275	11.84497	0.18546	0.00690	0.93191	0.01860	0.00219	0.10698	0.04860	0.00353	0.89302	0.04860	0.00353	0.08971	0.02707	0.00264	0.91029	0.02707	0.00264	0.09367	0.02951	0.00275	-0.02575	0.03549	0.00690
SP	172	3896	3896	1369	35.13860	12.78106	0.24396	0.00791	0.92710	0.01853	0.00218	0.11369	0.04733	0.00349	0.88631	0.04733	0.00349	0.09813	0.02664	0.00262	0.90187	0.02664	0.00262	0.10214	0.02887	0.00272	-0.01965	0.04138	0.00791
STE	364	3896	3896	1576	40.45175	12.74820	0.27933	0.00847	0.91639	0.01924	0.00222	0.12855	0.04760	0.00350	0.87145	0.04760	0.00350	0.11476	0.02876	0.00272	0.88524	0.02876	0.00272	0.11947	0.03117	0.00283	-0.01360	0.04498	0.00847
